code,state,center,popestimate2014,popestimate2015,popestimate2016,popestimate2017,killed2014,killed2015,killed2016,killed2017,injured2014,injured2015,injured2016,injured2017
US,United States,,318622525.0,321039839.0,323405935.0,325719178.0,12465,13360,14960,15411,22704,26622,30241,30363
AL,Alabama,"32.3669656,-86.3006485",4840037.0,4850858.0,4860545.0,4874747.0,325,385,488,544,591,562,761,856
AK,Alaska,"58.3019496,-134.419734",736759.0,737979.0,741522.0,739795.0,29,70,88,69,49,84,103,70
AZ,Arizona,"33.4485866,-112.0773456",6706435.0,6802262.0,6908642.0,7016270.0,220,215,277,289,222,193,294,298
AR,Arkansas,"34.7464809,-92.2895948",2964800.0,2975626.0,2988231.0,3004279.0,169,155,190,216,231,245,351,437
CA,California,"34.1430079,-118.14176172581",38701278.0,39032444.0,39296476.0,39536653.0,1320,1204,1265,1423,1607,1617,1896,1953
CO,Colorado,"39.7391428,-104.984696",5342311.0,5440445.0,5530105.0,5607154.0,149,176,207,199,164,282,299,300
CT,Connecticut,"41.7645491,-72.6908673",3600188.0,3593862.0,3587685.0,3588184.0,75,90,68,89,206,331,358,293
DE,Delaware,"39.158168,-75.5243682",934805.0,944107.0,952698.0,961939.0,50,58,42,56,181,206,187,241
FL,Florida,"30.4380832,-84.2809332",19897747.0,20268567.0,20656589.0,20984400.0,873,796,1001,950,1463,1547,1846,1801
GA,Georgia,"33.7490987,-84.3901849",10083850.0,10199533.0,10313620.0,10429379.0,522,595,548,658,817,1096,857,1057
HI,Hawaii,"21.3250785,-157.846644178573",1417710.0,1426320.0,1428683.0,1427538.0,8,12,34,8,13,27,17,20
ID,Idaho,"43.61656,-116.200835",1630391.0,1649324.0,1680026.0,1716943.0,31,40,34,47,26,36,44,34
IL,Illinois,"39.7990175,-89.6439575",12882438.0,12862051.0,12835726.0,12802023.0,637,688,946,959,2276,2822,4137,3629
IN,Indiana,"39.7683331,-86.1583502",6593182.0,6610596.0,6634007.0,6666818.0,330,346,420,407,600,703,765,737
IA,Iowa,"41.5910641,-93.6037149",3105563.0,3118473.0,3130869.0,3145711.0,62,60,70,71,169,193,194,229
